Address,Plugs,latitude,longitude,powertype,power
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Thurgauerstrasse 40', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.414876,8.5525848,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '8046', 'Street': 'Lerchenhalde 75', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.416179,8.506866,AC_3_PHASE,11.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39064793,8.51733646,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39037555,8.51814917,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Paul-Clairmont-Strasse 6', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.367778,8.496389,AC_3_PHASE,43.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Giessereistrasse 18', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.39046635,8.51788631,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Paul-Clairmont-Strasse 6', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CCS Combo 2 Plug (Cable Attached)', 'CHAdeMO']",47.367778,8.496389,DC,50.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Orellistrasse 21', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.38261,8.56716,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Orellistrasse 21', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.38261,8.56716,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Schärenmoosstrasse 77', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.4193147,8.5568084,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Schärenmoosstrasse 77', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.4193147,8.5568084,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Schärenmoosstrasse 77', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.4193147,8.5568084,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Hagenholz 110', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.415278,8.563333,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Hagenholz 110', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.415278,8.563333,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.338611,8.538889,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forchstrasse 95', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.3625,8.560278,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forchstrasse 95', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.3625,8.560278,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.338611,8.538889,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.338611,8.538889,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.338611,8.538889,,
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.404722,8.594167,AC_3_PHASE,43.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.404722,8.594167,AC_3_PHASE,43.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CCS Combo 2 Plug (Cable Attached)', 'CHAdeMO']",47.404722,8.594167,DC,50.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}","['CCS Combo 2 Plug (Cable Attached)', 'CHAdeMO']",47.404722,8.594167,DC,50.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Forellenweg 9', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.404722,8.594167,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Tiechestrasse 99', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.398963,8.5200163,AC_3_PHASE,22.0
"{'HouseNum': '0', 'TimeZone': 'UTC+01:00', 'City': 'Zürich', 'Country': 'CHE', 'PostalCode': '0', 'Street': 'Werdstrasse 4', 'Floor': None, 'Region': None, 'ParkingSpot': None, 'ParkingFacility': None}",['Type 2 Outlet'],47.373004,8.5307315,AC_3_PHASE,22.0
