,rent,rooms,living_space,closest_charger,chargers_in_vicinity
198,4147.0,2.5,70.0,1051,0.0
199,3458.0,3.5,90.0,83,32.0
200,3710.0,3.5,86.0,83,32.0
201,4180.0,4.5,148.0,128,34.0
203,1520.0,1.0,26.0,1480,0.0
205,4350.0,3.5,101.0,198,11.0
206,1890.0,1.5,47.0,1073,0.0
207,2450.0,2.5,56.0,1299,0.0
208,2740.0,3.5,77.0,1299,0.0
209,2420.0,2.5,64.0,391,2.0
210,2300.0,3.0,65.0,364,2.0
211,2987.0,2.5,59.0,1078,0.0
212,2190.0,4.5,66.0,1607,0.0
213,1890.0,3.5,54.0,1576,0.0
214,2450.0,3.5,75.0,1372,0.0
215,1861.0,3.5,66.0,1318,0.0
216,2320.0,2.5,74.0,745,2.0
217,3430.0,2.5,90.0,1468,0.0
218,3150.0,3.5,85.0,418,7.0
221,2490.0,2.5,64.0,505,2.0
223,2370.0,2.0,64.0,317,4.0
224,2890.0,1.5,76.0,418,11.0
225,4443.0,3.5,89.0,414,11.0
226,2126.0,2.5,67.0,879,12.0
227,2450.0,3.0,77.0,782,2.0
228,3770.0,3.5,83.0,1997,0.0
229,3950.0,3.5,110.0,2017,0.0
230,3530.0,2.5,95.0,2017,0.0
232,165.0,1.0,6.0,470,1.0
233,3280.0,2.5,54.0,209,15.0
234,4500.0,5.5,122.0,1180,0.0
235,3600.0,3.5,90.0,514,17.0
238,2750.0,2.5,74.0,1468,0.0
239,15900.0,3.5,130.0,298,9.0
240,2990.0,3.0,65.0,700,9.0
241,4150.0,4.5,135.0,111,14.0
242,1631.0,1.5,26.0,587,3.0
243,2650.0,3.0,76.0,1408,0.0
244,2900.0,4.0,71.0,1408,0.0
246,3300.0,2.5,46.0,695,10.0
247,2995.0,2.5,82.0,816,9.0
248,6200.0,4.5,122.0,188,18.0
249,3685.0,3.5,107.0,1265,0.0
250,2190.0,4.5,66.0,1582,0.0
251,2485.0,2.0,48.0,428,8.0
252,2350.0,3.5,96.0,1162,0.0
253,3480.0,3.5,113.0,163,3.0
254,3790.0,5.5,128.0,172,3.0
255,2490.0,2.5,72.0,163,3.0
256,3390.0,3.5,107.0,185,81.0
258,2920.0,2.5,71.0,1222,0.0
260,2110.0,3.5,88.0,1636,0.0
261,2570.0,4.0,87.0,1191,0.0
262,3440.0,2.5,71.0,602,9.0
